feature,pricing_pd__model6,pricing_lgd__model6,pricing_pd__model3,pricing_lgd__model3,pricing_pd__model4,pricing_lgd__model4,pricing_pd__model5,pricing_lgd__model5,pricing_pd__noPTImodel7,pricing_lgd__noPTImodel7,pricing_pd__maybePTImodel7,pricing_lgd__maybePTImodel7,pricing_pd__yesPTImodel7,pricing_lgd__yesPTImodel7,eng,app,ln,tu,sum,description
ENG-loan_to_value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,8.0,Loan to value
pti__app,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,1,0,0,8.0,Payment to income
rvlr23__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Bankcard Revolver/Transactor/Inactive pattern for bankcard with fourth highest balance    month 1 to 8
rev315__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,8.0,Number of months since Max Total Open-to-Buy for Revolving accounts
rev_trd__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of revolving trades
g405s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of deduped finance inquiries in past 6 months
linkf020__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of satisfactory ACH transactions within last 24 months
fltapproveddowntotal__app,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,8.0,Total down
rev122__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of months in the past 12 months where percentage of Revolving trades utilized less than 100% was more than 25%
ret328__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Average Total Open-to-Buy for Retail accounts over the past 24 months
criminalnonfelonytimenewest__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,"Time (in months) since most recently recorded non-felony criminal conviction on subject's file
NOTE: This attribute does not include sexual offender registry records"
fi27s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of currently open and satisfactory finance installment trades 24 months or older
g413s__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,6.0,Number of deduped auto inquiries in past 6 months
addrpreviouslengthofres__ln,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,6.0,Length of residency in previous residence
linka060__tu,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Total amount of open (unpaid) non-sufficient funds in the last month
linkf086__tu,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,0,0,0,1,6.0,Number of inquiries within last 6 months
addrinputphoneservice__ln,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,6.0,Indicates if phone service was found on file for the input address
linkf040__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Number of lenders / locations with inquiries or trades all time ONLINE LENDER
linkf212__tu,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Total Bad ACH amount
s209s__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Months since most recent third party collection
s064a__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Total placement amount of third party collections
std231__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,6.0,Aggregate Excess Payment for Student Loan accounts over the past 1 month
bc20s__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Months since oldest credit card trade opened
g301s__tu,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Worst rating on credit card trades
linkf109__tu,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,6.0,Number of lenders / locations with inquiries within last 2 months
index01__tu,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,6.0,Annual year-over-year spend index
at34a__tu,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Utilization for open trades verified in past 12 months
trv02__tu,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,6.0,Number of months overlimit on a bankcard over last 12 months
linkf178__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Number of distinct zip codes within last 3 months
linkf137__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,6.0,Number of distinct bank accounts within last 12 months
br06s__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,6.0,Number of bank revolving trades opened in past 6 months
inquirynonshortterm12month__ln,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,6.0,"Indicates subject has one or more LexisNexis credit inquiries on file in the last 12 months, excluding personal finance credit and collection inquiries
NOTE: This attribute indicates the subject has any LexisNexis credit inquiry on file, excluding any short-term or collection inquiries. This will include auto, banking, and telecom inquiries returned in other attributes as well as other credit-related inquiries not categorically classified in the attributes."
linkf199__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Total Good ACH amount
linka020__tu,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,"Number of credit inquiries in the last 3 years.  
These include credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
assetindex__ln,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,6.0,Modeled risk index indicating the type and relative value of real property and personal property associated with the subject
std204__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Total Payment Ratio for Student Loan accounts over the past 12 months
lm29s__tu,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Utilization of mortgage trades with a bank-backed loan modification
g042c__tu,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Number of real estate trades 60 or more days past due ever
aut223__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,6.0,Average total Payment Ratio for Auto accounts over the past 6 months
rev234__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Aggregate Excess Payment for Revolving accounts over the past 12 months
st01s__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Number of student loan trades
g409s__tu,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Number of deduped bank inquiries in past 6 months
in25s__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,6.0,Number of currently open and satisfactory installment trades 12 months or older
assetpropeversoldcount__ln,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,6.0,Total number of real properties identified as ever sold based on real property ownership records on subject's file
g238s__tu,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Number of credit inquiries in past 12 months
linkf116__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,6.0,Number of trade segments
of20s__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Months since oldest credit union trade opened
g308s__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Worst rating on mortgage trades in past 12 months
std222__tu,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Average total Payment Ratio for Student Loan accounts over the past 3 months
aut252__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,6.0,Average Aggregate Excess Payment for Auto accounts over the past 3 months
rev328__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Average Total Open-to-Buy for Revolving accounts over the past 24 months
us36s__tu,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,6.0,Months since most recent unsecured installment delinquency
cv05__tu,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,0,0,0,1,6.0,Months since most recent non-medical third party collection occurrence
trv09__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Number of non-mortgage balance decreases YOY
rt02s__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Number of open retail trades
rvlr11__tu,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Number of retail revolver trades over last month
s071a__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,6.0,Number of third party collections opened in past 36 months
jt02s__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,6.0,Number of open joint trades
rvlr12__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,6.0,Number of retail revolver trades over last 3 months
at28b__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Total credit line of open trades verified in past 12 months (excluding mortgage and home equity)
linkf167__tu,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,6.0,Number of distinct home phones within last 24 months
us20s__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Months since oldest unsecured installment trade opened
addrinputsubjectowned__ln,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,1,0,6.0,Indicates a property ownership record is on file for the subject at the input address
aut255__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,6.0,Average Aggregate Excess Payment for Auto accounts over the past 24 months
addrinputtimeoldest__ln,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,1,0,6.0,Time on file (in months) since subject was first reported at the input address
linkf096__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,6.0,Number of trades within last 18 months
at57s__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,6.0,Total past due amount of open trades verified in past 12 months
addrprevioustimeoldest__ln,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,1,0,6.0,Time (in months) since the subject was first reported at the most previous address on subject's file
rt36s__tu,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Months since most recent retail delinquency
mt47s__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Number of mortgage trade delinquencies (30 or more days past due) in the past 12 months
mt21s__tu,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,0,0,0,1,6.0,Months since most recent mortgage trade opened
s209a__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Months since most recent non-medical third party collection
g043c__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Number of real estate trades 90 or more days past due ever
g215a__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,6.0,Number of third party collections with balance > $0
addrinputtractratio__ln,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,1,0,6.0,Ratio comparison of the input address property value to tract median property value on file
linka028__tu,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,6.0,"Number of utility inquiries in last 3 years (cable/dish/satellite, gas, electric, mobile, and landline)"
at30s__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Percentage of open trades > 50% of credit line verified in past 12 months
jt42s__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,6.0,Ratio of open joint trades to open trades
addrcurrentsubjectowned__ln,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,1,0,6.0,Subject owns current address
assetproppurchasetimeoldest__ln,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,6.0,Time (in months) since earliest recorded real property purchase based on real property ownership records on subject's file
bkc132__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Number of months in the past 12 months where percentage of Bankcard trades utilized more than 25% was more than 90%
sourcenonderogcount__ln,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,6.0,Total non-derogatory source types on file for subject
s073a__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Number of third party collections with balance > $100
fr30s__tu,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,6.0,Percentage of open finance revolving trades > 50% of credit line verified in past 12 months
g220b__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,6.0,Number of trades verified in the past 12 months that are currently 90 days or more past due
linka022__tu,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Number of auto inquiries in the last 3 years
rtdexq2__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Q2 (Apr - Jun) retail spend indexed to retail annual spend
ret322__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Min Total Open-to-Buy for Retail accounts over the past 6 months
paymnt09__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Ratio of actual to minimum payment for bankcard trades last month
se57s__tu,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Total past due amount of open secured installment trades verified in past 12 months
rvlr13__tu,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,6.0,Number of retail revolver trades over last 6 months
cv03__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Months since most recent repossession occurrence
linkf076__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,"Total dollar amount of return, collection, and closed delinquent trade segments within last 12 months"
s063s__tu,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Total public record amount reported in past 12 months
g309s__tu,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Worst rating on mortgage trades
linka084__tu,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,0,0,0,1,6.0,Minimum days taken to pay a non-sufficient funds
rt01s__tu,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,6.0,Number of retail trades
linkf082__tu,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,6.0,Number of open trades with balance > 0 (excluding collection)
se09s__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Number of secured installment trades opened in past 24 months
aggs911__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Current Utilization of top-of-wallet bankcard (highest annual spend).
fi06s__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Number of finance installment trades opened in past 6 months
linkf144__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Number of distinct bank accounts within last 9 months
at28a__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Total credit line of open trades verified in past 12 months
rev204__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Total Payment Ratio for Revolving accounts over the past 12 months
g057s__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Number of trades 30 or more days past due in past 3 months
revs902__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Aggregate Revolving Monthly Spend over last 6 Months
rp07s__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Total balance of repossession trades in past 24 months
cv25__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Percent of trades from inactive to active status in the past 12 months
bkc54__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Number of Bankcard trades utilized more than 90% in the past 12 months
linkf163__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Number of distinct email addresses
au36s__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Months since most recent auto delinquency
g237s__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Number of credit inquiries in past 6 months
linka043__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Number of checking account closures for cause in the last 2 months
au204s__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Number of auto trades that are 90 days or more past due ever
educationinstitutionprivate__ln,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,0,0,1,0,4.0,Indicates most recently attended program is a private institution based on student directories and other college attendance sources on subject's file
bkc323__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Min Total Open-to-Buy for Bankcard accounts over the past 12 months
se34s__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Utilization for open secured installment trades verified in past 12 months
lm11s__tu,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0,0,0,1,4.0,Number of trades that are 60 or more days past due since the most recent loan modification on a mortgage trade
rev253__tu,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,4.0,Average Aggregate Excess Payment for Revolving accounts over the past 6 months
confirmationinputdob__ln,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,0,0,1,0,4.0,Indicates input date of birth (DOB) is confirmed by records on file
lienjudgmentseverityindex__ln,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,0,0,1,0,4.0,Index indicating severity of lien and judgment records on subject's file
addrlastmoveecontrajectoryindex__ln,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,0,0,1,0,4.0,"For subjects with a move in the past five years, this index summarizes any difference in the relative property value or ownership status of the most recent residential move.  Lower values indicate movement to lower value or rented property, higher values indicate higher value property.  
Note: Seniors (age 62 plus) who have moved are defaulted to the most positive level to prevent adverse action based on downsizing of empty nesters and retirees."
linkf145__tu,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,0,0,0,1,4.0,Number of distinct bank accounts
at101s__tu,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,0,0,0,1,4.0,Total balance of all trades verified in past 12 months
linkf002__tu,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,0,0,0,1,4.0,Number of NSF within last 12 months
au57s__tu,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,0,0,0,1,4.0,Total past due amount of open auto trades verified in past 12 months
rp01s__tu,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0,0,0,1,4.0,Number of repossession trades
assetpropsaletimenewest__ln,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,0,0,1,0,4.0,Time (in months) since subject's most recently recorded real property sale based on real property ownership records on subject's file
se06s__tu,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,0,0,0,1,4.0,Number of secured installment trades opened in past 6 months
addrstabilityindex__ln,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,1,0,4.0,Address stability index indicating how often subject has changed addresses based on the address history on subject's file
std253__tu,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,4.0,Average Aggregate Excess Payment for Student Loan accounts over the past 6 months
ret92__tu,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,4.0,Number of months in the past 12 months where percentage of Retail trades utilized less than 25% was more than 25%
s068b__tu,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,4.0,Number of non-medical third party collections
per235__tu,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,4.0,Aggregate Excess Payment for Personal Loan accounts over the past 24 months
linkf046__tu,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,4.0,"Number of closed delinquent, return and collection trade segments within last 12 months ONLINE LENDER"
rt35s__tu,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,4.0,Average balance of open retail trades verified in past 12 months
sourcecredheadertimeoldest__ln,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,0,0,1,0,4.0,Time (in months) since the subject first reported by a credit header source on file
us51a__tu,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,4.0,Terms in months of most recent unsecured installment trade
jt03s__tu,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,4.0,Number of open joint trades currently satisfactory
aut235__tu,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,4.0,Aggregate Excess Payment for Auto accounts over the past 24 months
g311s__tu,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,4.0,Worst rating on all trades
rt06s__tu,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,4.0,Number of retail trades opened in past 6 months
g095s__tu,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,4.0,Months since most recent public record
g411s__tu,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Number of deduped bank inquiries
mt02s__tu,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,4.0,Number of open mortgage trades
assetprop__ln,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,0,0,1,0,4.0,Indicates subject has ownership of real property based on real property ownership records on file
linkf094__tu,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,4.0,Number of trades within last 9 months
all232__tu,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Aggregate Excess Payment for All accounts over the past 3 months
br31s__tu,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,0,0,0,1,4.0,Percentage of open bank revolving trades > 75% of credit line verified in past 12 months
br21s__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Months since most recent bank revolving trade opened
at104s__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Percentage of all trades opened in past 24 months to all trades
g306s__tu,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,4.0,Worst rating on auto trades in past 12 months
