feature,suffix,feature_name,Description
revs120,__tu,revs120__tu,Aggregate Revolving Spend for Month M = 20
revs121,__tu,revs121__tu,Aggregate Revolving Spend for Month M = 21
revs122,__tu,revs122__tu,Aggregate Revolving Spend for Month M = 22
revs123,__tu,revs123__tu,Aggregate Revolving Spend for Month M = 23
revs124,__tu,revs124__tu,Aggregate Revolving Spend for Month M = 24
revs901,__tu,revs901__tu,Aggregate Revolving Monthly Spend over last 3 Months
revs902,__tu,revs902__tu,Aggregate Revolving Monthly Spend over last 6 Months
revs903,__tu,revs903__tu,Aggregate Revolving Monthly Spend over last 12 Months
revs904,__tu,revs904__tu,Max Aggregate Revolving Monthly Spend over last 12 Months
revs905,__tu,revs905__tu,Months since max. revolving monthly spend over last 12 months
rvdex01,__tu,rvdex01__tu,Annual year-over-year revolving spend index
rvdex02,__tu,rvdex02__tu,Most recent quarter year-over-year revolving spend index
rvdexq1,__tu,rvdexq1__tu,Q1 (Jan - March) revolving spend indexed to annual revolving spend
rvdexq2,__tu,rvdexq2__tu,Q2 (Apr - Jun) revolving spend indexed to revolving annual spend
rvdexq3,__tu,rvdexq3__tu,Q3 (Jul - Sep) revolving spend indexed to revolving annual spend
rvdexq4,__tu,rvdexq4__tu,Q4 (Oct - Dec) revolving spend indexed to revolving annual spend
walsrvs1,__tu,walsrvs1__tu,Spend on current dominant revolving trade relative to total spend over the past month
walsrvs2,__tu,walsrvs2__tu,Spend on current dominant revolving trade relative to total spend over the past year
cv_bc_behav_seg,__tu,cv_bc_behav_seg__tu,CreditVision Bankcard Behavior Segment
rvlr61,__tu,rvlr61__tu,Flag indicating that the consumer revolved at least one time on at least one of his top 5 bankcards in the past 6 months
rvlr62,__tu,rvlr62__tu,Flag indicating that the consumer revolved at least two times on at least one of his top 5 bankcards in the past 6 months
rvlr63,__tu,rvlr63__tu,Flag indicating that the consumer revolved at least three times on at least one of his top 5 bankcards in the past 6 months
rvlr64,__tu,rvlr64__tu,Flag indicating that the consumer revolved at least four times on at least one of his top 5 bankcards in the past 6 months
rvlr65,__tu,rvlr65__tu,Flag indicating that the consumer revolved at least five times on at least one of his top 5 bankcards in the past 6 months
rvlr66,__tu,rvlr66__tu,Flag indicating that the consumer revolved at least six times on at least one of his top 5 bankcards in the past 6 months
rvlr70,__tu,rvlr70__tu,Number of top five Bankcards that were revolver at least once in the past 3 months
rvlr71,__tu,rvlr71__tu,"Number of top five Bankcards that were never revolver, but transacted at least once in the past 3 months"
rvlr72,__tu,rvlr72__tu,Number of top five Bankcards that were revolver at least once in the past 6 months
rvlr73,__tu,rvlr73__tu,"Number of top five Bankcards that were never revolver, but transacted at least once in the past 6 months"
rvlr74,__tu,rvlr74__tu,Number of top five Bankcards that were revolver at least once in the past 12 months
rvlr75,__tu,rvlr75__tu,"Number of top five Bankcards that were never revolver, but transacted at least once in the past 12 months"
rvlr76,__tu,rvlr76__tu,Number of top five Bankcards that were revolver at least once in the past 24 months
rvlr77,__tu,rvlr77__tu,"Number of top five Bankcards that were never revolver, but transacted at least once in the past 24 months"
rvlr78,__tu,rvlr78__tu,Revolver/Transactor tag for the top five Bankcards in the past 3 months
rvlr79,__tu,rvlr79__tu,Revolver/Transactor tag for the top five Bankcards in the past 6 months
rvlr80,__tu,rvlr80__tu,Revolver/Transactor tag for the top five Bankcards in the past 12 months
rvlr81,__tu,rvlr81__tu,Revolver/Transactor tag for the top five Bankcards in the past 24 months
rev315,__tu,rev315__tu,Number of months since Max Total Open-to-Buy for Revolving accounts
rev316,__tu,rev316__tu,Max Total Open-to-Buy for Revolving accounts over the past 3 months
rev317,__tu,rev317__tu,Max Total Open-to-Buy for Revolving accounts over the past 6 months
rev318,__tu,rev318__tu,Max Total Open-to-Buy for Revolving accounts over the past 12 months
rev319,__tu,rev319__tu,Max Total Open-to-Buy for Revolving accounts over the past 24 months
rev320,__tu,rev320__tu,Number of months since Min Total Open-to-Buy for Revolving accounts
rev321,__tu,rev321__tu,Min Total Open-to-Buy for Revolving accounts over the past 3 months
rev322,__tu,rev322__tu,Min Total Open-to-Buy for Revolving accounts over the past 6 months
rev323,__tu,rev323__tu,Min Total Open-to-Buy for Revolving accounts over the past 12 months
rev324,__tu,rev324__tu,Min Total Open-to-Buy for Revolving accounts over the past 24 months
rev325,__tu,rev325__tu,Average Total Open-to-Buy for Revolving accounts over the past 3 months
rev326,__tu,rev326__tu,Average Total Open-to-Buy for Revolving accounts over the past 6 months
rev327,__tu,rev327__tu,Average Total Open-to-Buy for Revolving accounts over the past 12 months
rev328,__tu,rev328__tu,Average Total Open-to-Buy for Revolving accounts over the past 24 months
bkc315,__tu,bkc315__tu,Number of months since Max Total Open-to-Buy for Bankcard accounts
bkc316,__tu,bkc316__tu,Max Total Open-to-Buy for Bankcard accounts over the past 3 months
bkc317,__tu,bkc317__tu,Max Total Open-to-Buy for Bankcard accounts over the past 6 months
bkc318,__tu,bkc318__tu,Max Total Open-to-Buy for Bankcard accounts over the past 12 months
bkc319,__tu,bkc319__tu,Max Total Open-to-Buy for Bankcard accounts over the past 24 months
bkc320,__tu,bkc320__tu,Number of months since Min Total Open-to-Buy for Bankcard accounts
bkc321,__tu,bkc321__tu,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
bkc322,__tu,bkc322__tu,Min Total Open-to-Buy for Bankcard accounts over the past 6 months
bkc323,__tu,bkc323__tu,Min Total Open-to-Buy for Bankcard accounts over the past 12 months
bkc324,__tu,bkc324__tu,Min Total Open-to-Buy for Bankcard accounts over the past 24 months
bkc325,__tu,bkc325__tu,Average Total Open-to-Buy for Bankcard accounts over the past 3 months
bkc326,__tu,bkc326__tu,Average Total Open-to-Buy for Bankcard accounts over the past 6 months
bkc327,__tu,bkc327__tu,Average Total Open-to-Buy for Bankcard accounts over the past 12 months
bkc328,__tu,bkc328__tu,Average Total Open-to-Buy for Bankcard accounts over the past 24 months
ret315,__tu,ret315__tu,Number of months since Max Total Open-to-Buy for Retail accounts
ret316,__tu,ret316__tu,Max Total Open-to-Buy for Retail accounts over the past 3 months
ret317,__tu,ret317__tu,Max Total Open-to-Buy for Retail accounts over the past 6 months
ret318,__tu,ret318__tu,Max Total Open-to-Buy for Retail accounts over the past 12 months
ret319,__tu,ret319__tu,Max Total Open-to-Buy for Retail accounts over the past 24 months
ret320,__tu,ret320__tu,Number of months since Min Total Open-to-Buy for Retail accounts
ret321,__tu,ret321__tu,Min Total Open-to-Buy for Retail accounts over the past 3 months
ret322,__tu,ret322__tu,Min Total Open-to-Buy for Retail accounts over the past 6 months
ret323,__tu,ret323__tu,Min Total Open-to-Buy for Retail accounts over the past 12 months
ret324,__tu,ret324__tu,Min Total Open-to-Buy for Retail accounts over the past 24 months
ret325,__tu,ret325__tu,Average Total Open-to-Buy for Retail accounts over the past 3 months
ret326,__tu,ret326__tu,Average Total Open-to-Buy for Retail accounts over the past 6 months
ret327,__tu,ret327__tu,Average Total Open-to-Buy for Retail accounts over the past 12 months
ret328,__tu,ret328__tu,Average Total Open-to-Buy for Retail accounts over the past 24 months
rev11,__tu,rev11__tu,Number of instances where a Revolving trade was utilized more than 25% in the past 12 months
rev12,__tu,rev12__tu,Number of instances where a Revolving trade was utilized more than 50% in the past 12 months
rev13,__tu,rev13__tu,Number of instances where a Revolving trade was utilized more than 75% in the past 12 months
rev14,__tu,rev14__tu,Number of instances where a Revolving trade was utilized more than 90% in the past 12 months
rev51,__tu,rev51__tu,Number of Revolving trades utilized more than 25% in the past 12 months
rev52,__tu,rev52__tu,Number of Revolving trades utilized more than 50% in the past 12 months
rev53,__tu,rev53__tu,Number of Revolving trades utilized more than 75% in the past 12 months
rev54,__tu,rev54__tu,Number of Revolving trades utilized more than 90% in the past 12 months
rev81,__tu,rev81__tu,Months since a Revolving trade last exceeded 25% utilization
rev82,__tu,rev82__tu,Months since a Revolving trade last exceeded 50% utilization
rev83,__tu,rev83__tu,Months since a Revolving trade last exceeded 75% utilization
rev84,__tu,rev84__tu,Months since a Revolving trade last exceeded 90% utilization
rev92,__tu,rev92__tu,Number of months in the past 12 months where percentage of Revolving trades utilized less than 25% was more than 25%
rev102,__tu,rev102__tu,Number of months in the past 12 months where percentage of Revolving trades utilized less than 50% was more than 25%
rev112,__tu,rev112__tu,Number of months in the past 12 months where percentage of Revolving trades utilized less than 75% was more than 25%
rev122,__tu,rev122__tu,Number of months in the past 12 months where percentage of Revolving trades utilized less than 100% was more than 25%
rev132,__tu,rev132__tu,Number of months in the past 12 months where percentage of Revolving trades utilized more than 25% was more than 90%
rev142,__tu,rev142__tu,Number of months in the past 12 months where percentage of Revolving trades utilized more than 50% was more than 90%
rev152,__tu,rev152__tu,Number of months in the past 12 months where percentage of Revolving trades utilized more than 75% was more than 90%
rev162,__tu,rev162__tu,Number of months in the past 12 months where percentage of Revolving trades utilized more than 100% was more than 90%
bkc11,__tu,bkc11__tu,Number of instances where a Bankcard trade was utilized more than 25% in the past 12 months
bkc12,__tu,bkc12__tu,Number of instances where a Bankcard trade was utilized more than 50% in the past 12 months
bkc13,__tu,bkc13__tu,Number of instances where a Bankcard trade was utilized more than 75% in the past 12 months
bkc14,__tu,bkc14__tu,Number of instances where a Bankcard trade was utilized more than 90% in the past 12 months
bkc51,__tu,bkc51__tu,Number of Bankcard trades utilized more than 25% in the past 12 months
bkc52,__tu,bkc52__tu,Number of Bankcard trades utilized more than 50% in the past 12 months
bkc53,__tu,bkc53__tu,Number of Bankcard trades utilized more than 75% in the past 12 months
bkc54,__tu,bkc54__tu,Number of Bankcard trades utilized more than 90% in the past 12 months
bkc81,__tu,bkc81__tu,Months since a Bankcard trade last exceeded 25% utilization
bkc82,__tu,bkc82__tu,Months since a Bankcard trade last exceeded 50% utilization
bkc83,__tu,bkc83__tu,Months since a Bankcard trade last exceeded 75% utilization
bkc84,__tu,bkc84__tu,Months since a Bankcard trade last exceeded 90% utilization
bkc92,__tu,bkc92__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 25% was more than 25%
bkc102,__tu,bkc102__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 50% was more than 25%
bkc112,__tu,bkc112__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 75% was more than 25%
bkc122,__tu,bkc122__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 100% was more than 25%
bkc132,__tu,bkc132__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized more than 25% was more than 90%
bkc142,__tu,bkc142__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized more than 50% was more than 90%
bkc152,__tu,bkc152__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized more than 75% was more than 90%
bkc162,__tu,bkc162__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized more than 100% was more than 90%
ret11,__tu,ret11__tu,Number of instances where a Retail trade was utilized more than 25% in the past 12 months
ret12,__tu,ret12__tu,Number of instances where a Retail trade was utilized more than 50% in the past 12 months
ret13,__tu,ret13__tu,Number of instances where a Retail trade was utilized more than 75% in the past 12 months
ret14,__tu,ret14__tu,Number of instances where a Retail trade was utilized more than 90% in the past 12 months
ret51,__tu,ret51__tu,Number of Retail trades utilized more than 25% in the past 12 months
ret52,__tu,ret52__tu,Number of Retail trades utilized more than 50% in the past 12 months
ret53,__tu,ret53__tu,Number of Retail trades utilized more than 75% in the past 12 months
ret54,__tu,ret54__tu,Number of Retail trades utilized more than 90% in the past 12 months
ret81,__tu,ret81__tu,Months since a Retail trade last exceeded 25% utilization
ret82,__tu,ret82__tu,Months since a Retail trade last exceeded 50% utilization
ret83,__tu,ret83__tu,Months since a Retail trade last exceeded 75% utilization
ret84,__tu,ret84__tu,Months since a Retail trade last exceeded 90% utilization
ret92,__tu,ret92__tu,Number of months in the past 12 months where percentage of Retail trades utilized less than 25% was more than 25%
ret102,__tu,ret102__tu,Number of months in the past 12 months where percentage of Retail trades utilized less than 50% was more than 25%
ret112,__tu,ret112__tu,Number of months in the past 12 months where percentage of Retail trades utilized less than 75% was more than 25%
ret122,__tu,ret122__tu,Number of months in the past 12 months where percentage of Retail trades utilized less than 100% was more than 25%
ret132,__tu,ret132__tu,Number of months in the past 12 months where percentage of Retail trades utilized more than 25% was more than 90%
ret142,__tu,ret142__tu,Number of months in the past 12 months where percentage of Retail trades utilized more than 50% was more than 90%
ret152,__tu,ret152__tu,Number of months in the past 12 months where percentage of Retail trades utilized more than 75% was more than 90%
ret162,__tu,ret162__tu,Number of months in the past 12 months where percentage of Retail trades utilized more than 100% was more than 90%
rev201,__tu,rev201__tu,Total Payment Ratio for Revolving accounts over the past 1 month
rev202,__tu,rev202__tu,Total Payment Ratio for Revolving accounts over the past 3 months
rev203,__tu,rev203__tu,Total Payment Ratio for Revolving accounts over the past 6 months
rev204,__tu,rev204__tu,Total Payment Ratio for Revolving accounts over the past 12 months
rev205,__tu,rev205__tu,Total Payment Ratio for Revolving accounts over the past 24 months
rev222,__tu,rev222__tu,Average total Payment Ratio for Revolving accounts over the past 3 months
rev223,__tu,rev223__tu,Average total Payment Ratio for Revolving accounts over the past 6 months
rev224,__tu,rev224__tu,Average total Payment Ratio for Revolving accounts over the past 12 months
rev225,__tu,rev225__tu,Average total Payment Ratio for Revolving accounts over the past 24 months
ret201,__tu,ret201__tu,Total Payment Ratio for Retail accounts over the past 1 month
ret202,__tu,ret202__tu,Total Payment Ratio for Retail accounts over the past 3 months
ret203,__tu,ret203__tu,Total Payment Ratio for Retail accounts over the past 6 months
ret204,__tu,ret204__tu,Total Payment Ratio for Retail accounts over the past 12 months
ret205,__tu,ret205__tu,Total Payment Ratio for Retail accounts over the past 24 months
ret222,__tu,ret222__tu,Average total Payment Ratio for Retail accounts over the past 3 months
ret223,__tu,ret223__tu,Average total Payment Ratio for Retail accounts over the past 6 months
ret224,__tu,ret224__tu,Average total Payment Ratio for Retail accounts over the past 12 months
ret225,__tu,ret225__tu,Average total Payment Ratio for Retail accounts over the past 24 months
aut201,__tu,aut201__tu,Total Payment Ratio for Auto accounts over the past 1 month
aut202,__tu,aut202__tu,Total Payment Ratio for Auto accounts over the past 3 months
aut203,__tu,aut203__tu,Total Payment Ratio for Auto accounts over the past 6 months
aut204,__tu,aut204__tu,Total Payment Ratio for Auto accounts over the past 12 months
aut205,__tu,aut205__tu,Total Payment Ratio for Auto accounts over the past 24 months
aut222,__tu,aut222__tu,Average total Payment Ratio for Auto accounts over the past 3 months
aut223,__tu,aut223__tu,Average total Payment Ratio for Auto accounts over the past 6 months
aut224,__tu,aut224__tu,Average total Payment Ratio for Auto accounts over the past 12 months
aut225,__tu,aut225__tu,Average total Payment Ratio for Auto accounts over the past 24 months
std201,__tu,std201__tu,Total Payment Ratio for Student Loan accounts over the past 1 month
std202,__tu,std202__tu,Total Payment Ratio for Student Loan accounts over the past 3 months
std203,__tu,std203__tu,Total Payment Ratio for Student Loan accounts over the past 6 months
std204,__tu,std204__tu,Total Payment Ratio for Student Loan accounts over the past 12 months
std205,__tu,std205__tu,Total Payment Ratio for Student Loan accounts over the past 24 months
std222,__tu,std222__tu,Average total Payment Ratio for Student Loan accounts over the past 3 months
std223,__tu,std223__tu,Average total Payment Ratio for Student Loan accounts over the past 6 months
std224,__tu,std224__tu,Average total Payment Ratio for Student Loan accounts over the past 12 months
std225,__tu,std225__tu,Average total Payment Ratio for Student Loan accounts over the past 24 months
per201,__tu,per201__tu,Total Payment Ratio for Personal Loan accounts over the past 1 month
per202,__tu,per202__tu,Total Payment Ratio for Personal Loan accounts over the past 3 months
per203,__tu,per203__tu,Total Payment Ratio for Personal Loan accounts over the past 6 months
per204,__tu,per204__tu,Total Payment Ratio for Personal Loan accounts over the past 12 months
per205,__tu,per205__tu,Total Payment Ratio for Personal Loan accounts over the past 24 months
per222,__tu,per222__tu,Average total Payment Ratio for Personal Loan accounts over the past 3 months
per223,__tu,per223__tu,Average total Payment Ratio for Personal Loan accounts over the past 6 months
per224,__tu,per224__tu,Average total Payment Ratio for Personal Loan accounts over the past 12 months
per225,__tu,per225__tu,Average total Payment Ratio for Personal Loan accounts over the past 24 months
rev231,__tu,rev231__tu,Aggregate Excess Payment for Revolving accounts over the past 1 month
rev232,__tu,rev232__tu,Aggregate Excess Payment for Revolving accounts over the past 3 months
rev233,__tu,rev233__tu,Aggregate Excess Payment for Revolving accounts over the past 6 months
rev234,__tu,rev234__tu,Aggregate Excess Payment for Revolving accounts over the past 12 months
rev235,__tu,rev235__tu,Aggregate Excess Payment for Revolving accounts over the past 24 months
rev252,__tu,rev252__tu,Average Aggregate Excess Payment for Revolving accounts over the past 3 months
rev253,__tu,rev253__tu,Average Aggregate Excess Payment for Revolving accounts over the past 6 months
rev254,__tu,rev254__tu,Average Aggregate Excess Payment for Revolving accounts over the past 12 months
rev255,__tu,rev255__tu,Average Aggregate Excess Payment for Revolving accounts over the past 24 months
ret231,__tu,ret231__tu,Aggregate Excess Payment for Retail accounts over the past 1 month
ret232,__tu,ret232__tu,Aggregate Excess Payment for Retail accounts over the past 3 months
ret233,__tu,ret233__tu,Aggregate Excess Payment for Retail accounts over the past 6 months
ret234,__tu,ret234__tu,Aggregate Excess Payment for Retail accounts over the past 12 months
ret235,__tu,ret235__tu,Aggregate Excess Payment for Retail accounts over the past 24 months
ret252,__tu,ret252__tu,Average Aggregate Excess Payment for Retail accounts over the past 3 months
ret253,__tu,ret253__tu,Average Aggregate Excess Payment for Retail accounts over the past 6 months
ret254,__tu,ret254__tu,Average Aggregate Excess Payment for Retail accounts over the past 12 months
ret255,__tu,ret255__tu,Average Aggregate Excess Payment for Retail accounts over the past 24 months
aut231,__tu,aut231__tu,Aggregate Excess Payment for Auto accounts over the past 1 month
aut232,__tu,aut232__tu,Aggregate Excess Payment for Auto accounts over the past 3 months
aut233,__tu,aut233__tu,Aggregate Excess Payment for Auto accounts over the past 6 months
aut234,__tu,aut234__tu,Aggregate Excess Payment for Auto accounts over the past 12 months
aut235,__tu,aut235__tu,Aggregate Excess Payment for Auto accounts over the past 24 months
aut252,__tu,aut252__tu,Average Aggregate Excess Payment for Auto accounts over the past 3 months
aut253,__tu,aut253__tu,Average Aggregate Excess Payment for Auto accounts over the past 6 months
aut254,__tu,aut254__tu,Average Aggregate Excess Payment for Auto accounts over the past 12 months
aut255,__tu,aut255__tu,Average Aggregate Excess Payment for Auto accounts over the past 24 months
std231,__tu,std231__tu,Aggregate Excess Payment for Student Loan accounts over the past 1 month
std232,__tu,std232__tu,Aggregate Excess Payment for Student Loan accounts over the past 3 months
std233,__tu,std233__tu,Aggregate Excess Payment for Student Loan accounts over the past 6 months
std234,__tu,std234__tu,Aggregate Excess Payment for Student Loan accounts over the past 12 months
std235,__tu,std235__tu,Aggregate Excess Payment for Student Loan accounts over the past 24 months
std252,__tu,std252__tu,Average Aggregate Excess Payment for Student Loan accounts over the past 3 months
std253,__tu,std253__tu,Average Aggregate Excess Payment for Student Loan accounts over the past 6 months
std254,__tu,std254__tu,Average Aggregate Excess Payment for Student Loan accounts over the past 12 months
std255,__tu,std255__tu,Average Aggregate Excess Payment for Student Loan accounts over the past 24 months
per231,__tu,per231__tu,Aggregate Excess Payment for Personal Loan accounts over the past 1 month
per232,__tu,per232__tu,Aggregate Excess Payment for Personal Loan accounts over the past 3 months
per233,__tu,per233__tu,Aggregate Excess Payment for Personal Loan accounts over the past 6 months
per234,__tu,per234__tu,Aggregate Excess Payment for Personal Loan accounts over the past 12 months
per235,__tu,per235__tu,Aggregate Excess Payment for Personal Loan accounts over the past 24 months
per252,__tu,per252__tu,Average Aggregate Excess Payment for Personal Loan accounts over the past 3 months
per253,__tu,per253__tu,Average Aggregate Excess Payment for Personal Loan accounts over the past 6 months
per254,__tu,per254__tu,Average Aggregate Excess Payment for Personal Loan accounts over the past 12 months
per255,__tu,per255__tu,Average Aggregate Excess Payment for Personal Loan accounts over the past 24 months
all231,__tu,all231__tu,Aggregate Excess Payment for All accounts over the past 1 month
all232,__tu,all232__tu,Aggregate Excess Payment for All accounts over the past 3 months
all233,__tu,all233__tu,Aggregate Excess Payment for All accounts over the past 6 months
all234,__tu,all234__tu,Aggregate Excess Payment for All accounts over the past 12 months
all235,__tu,all235__tu,Aggregate Excess Payment for All accounts over the past 24 months
all252,__tu,all252__tu,Average Aggregate Excess Payment for All accounts over the past 3 months
all253,__tu,all253__tu,Average Aggregate Excess Payment for All accounts over the past 6 months
all254,__tu,all254__tu,Average Aggregate Excess Payment for All accounts over the past 12 months
all255,__tu,all255__tu,Average Aggregate Excess Payment for All accounts over the past 24 months
rle901,__tu,rle901__tu,Number of over-payments on Real-Estate accounts in the past 6 months
rle902,__tu,rle902__tu,Number of over-payments on Real-Estate accounts in the past 12 months
rle903,__tu,rle903__tu,Number of over-payments on Real-Estate accounts in the past 24 months
rle904,__tu,rle904__tu,Amount of over-payments on Real-Estate accounts in the past 6 months
rle905,__tu,rle905__tu,Amount of over-payments on Real-Estate accounts in the past 12 months
rle906,__tu,rle906__tu,Amount of over-payments on Real-Estate accounts in the past 24 months
rle907,__tu,rle907__tu,Months since most recent over-payment on a Real-Estate account
uniqueid,__tu,uniqueid__tu,UniqueID
bigaccountid,__tu,bigaccountid__tu,bigAccountId
bigdebtorid,__tu,bigdebtorid__tu,bigDebtorId
bitdebtor,__tu,bitdebtor__tu,bitDebtor
city,__tu,city__tu,city
state,__tu,state__tu,state
zip5,__tu,zip5__tu,zip5
observationdate,__tu,observationdate__tu,observationDate
dtmapproved,__tu,dtmapproved__tu,dtmApproved
dtmdeclined,__tu,dtmdeclined__tu,dtmDeclined
dtmfunded,__tu,dtmfunded__tu,dtmFunded
archive,__tu,archive__tu,Archive
tu_creditbureaudate,__tu,tu_creditbureaudate__tu,TU CreditBureauDate
analyticsmatchkey,__tu,analyticsmatchkey__tu,MatchKey
linka004,__tu,linka004__tu,Number of bank account closures identified as fraudulent
linka002,__tu,linka002__tu,"Number of credit issuance inquiries in the last year (credit card, secured card, line of credit, revolving credit, and other credit account originations) "
linka023,__tu,linka023__tu,"Number of credit issuance inquiries in the last 3 years (credit card, secured card, line of credit, revolving credit, and other credit account originations) "
linka024,__tu,linka024__tu,"Number of days since oldest credit issuance inquiry (credit card, secured card, line of credit, revolving credit, and other credit account originations) "
linka048,__tu,linka048__tu,Number of checking account inquiries in the last month
linka049,__tu,linka049__tu,Number of checking account inquiries in the last 2 months
linka001,__tu,linka001__tu,Number of checking account inquiries in the last 3 months
linka050,__tu,linka050__tu,Number of checking account inquiries in the last 6 months
linka051,__tu,linka051__tu,Number of checking account inquiries in the last year
linka052,__tu,linka052__tu,Number of checking account inquiries in the last 2 years
linka029,__tu,linka029__tu,Number of checking account inquiries in the last 3 years
linka030,__tu,linka030__tu,Number of days since most recent checking account inquiry
linka053,__tu,linka053__tu,Number of days since the first (oldest) checking account inquiry
linka022,__tu,linka022__tu,Number of auto inquiries in the last 3 years
linka026,__tu,linka026__tu,Number of payday inquiries in the last 3 years
linka027,__tu,linka027__tu,Number of days since most recent payday inquiry
linka028,__tu,linka028__tu,"Number of utility inquiries in last 3 years (cable/dish/satellite, gas, electric, mobile, and landline)"
linka021,__tu,linka021__tu,"Number of credit inquiries in the last year.  
These include credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
linka020,__tu,linka020__tu,"Number of credit inquiries in the last 3 years.  
These include credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
linka006,__tu,linka006__tu,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
linka003,__tu,linka003__tu,"Number of other inquiries in the last 2 years.  
Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
linka025,__tu,linka025__tu,"Number of other inquiries in the last 3 years.  
Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
linka011,__tu,linka011__tu,Number of checks ordered in the last 3 years
linka005,__tu,linka005__tu,Average number of checks ordered in the last 3 years
linka010,__tu,linka010__tu,Maximum number of checks ordered in a single order in the last 3 years
linka040,__tu,linka040__tu,Minimum number of checks ordered in a single order in the last 3 years
linka033,__tu,linka033__tu,Number of check orders in the last month
linka034,__tu,linka034__tu,Number of check orders in the last 2 months
linka035,__tu,linka035__tu,Number of check orders in the last 3 months
linka036,__tu,linka036__tu,Number of check orders in the last 6 months
linka007,__tu,linka007__tu,Number of check orders in the last year
linka037,__tu,linka037__tu,Number of check orders in the last 2 years
linka008,__tu,linka008__tu,Number of check orders in the last 3 years
linka009,__tu,linka009__tu,Number of days since most recent check order
linka039,__tu,linka039__tu,Number of days since first (oldest) check order
linka042,__tu,linka042__tu,Number of checking account closures for cause in the last month
linka043,__tu,linka043__tu,Number of checking account closures for cause in the last 2 months
linka044,__tu,linka044__tu,Number of checking account closures for cause in the last 3 months
linka015,__tu,linka015__tu,Number of checking account closures for cause in the last 6 months
linka045,__tu,linka045__tu,Number of checking account closures for cause in the last year
linka046,__tu,linka046__tu,Number of checking account closures for cause in the last 2 years
linka047,__tu,linka047__tu,Number of checking account closures for cause in the last 3 years
linka017,__tu,linka017__tu,Number of checking account closures for cause in the last 5 years
linka018,__tu,linka018__tu,Number of days since most recent checking account closure for cause
linka019,__tu,linka019__tu,Number of days since first checking account closure for cause
linka041,__tu,linka041__tu,Average number of days between checking account closures for cause
linka012,__tu,linka012__tu,Number of unpaid checking account closures for cause in the last 2 years
linka014,__tu,linka014__tu,Number of unpaid checking account closures for cause in the last 5 years
linka016,__tu,linka016__tu,Number of paid checking account closures for cause in the last 5 years
linka013,__tu,linka013__tu,Total dollar amount of unpaid checking account closures for cause in the last 4 years
linka038,__tu,linka038__tu,Number of reported accounts consumer is actively accessing/transacting on
linka054,__tu,linka054__tu,Number of open (unpaid) non-sufficient funds in the last month
linka055,__tu,linka055__tu,Number of open (unpaid) non-sufficient funds in the last 2 months
linka056,__tu,linka056__tu,Number of open (unpaid) non-sufficient funds in the last 3 months
linka057,__tu,linka057__tu,Number of open (unpaid) non-sufficient funds in the last 6 months
linka058,__tu,linka058__tu,Number of open (unpaid) non-sufficient funds in the last year
linka059,__tu,linka059__tu,Number of open (unpaid) non-sufficient funds in the last 2 years
linka031,__tu,linka031__tu,Number of open (unpaid) non-sufficient funds in the last 3 years
linka080,__tu,linka080__tu,Number of days since last (most recent) open (unpaid) non-sufficient funds
linka060,__tu,linka060__tu,Total amount of open (unpaid) non-sufficient funds in the last month
linka061,__tu,linka061__tu,Total amount of open (unpaid) non-sufficient funds in the last 2 months
linka062,__tu,linka062__tu,Total amount of open (unpaid) non-sufficient funds in the last 3 months
linka063,__tu,linka063__tu,Total amount of open (unpaid) non-sufficient funds in the last 6 months
linka064,__tu,linka064__tu,Total amount of open (unpaid) non-sufficient funds in the last year
linka065,__tu,linka065__tu,Total amount of open (unpaid) non-sufficient funds in the last 2 years
linka066,__tu,linka066__tu,Total amount of open (unpaid) non-sufficient funds in the last 3 years
linka082,__tu,linka082__tu,Amount of largest open (unpaid) non-sufficient funds (single check)
linka067,__tu,linka067__tu,Number of paid non-sufficient funds in the last month
linka068,__tu,linka068__tu,Number of paid non-sufficient funds in the last 2 months
linka069,__tu,linka069__tu,Number of paid non-sufficient funds in the last 3 months
linka070,__tu,linka070__tu,Number of paid non-sufficient funds in the last 6 months
linka071,__tu,linka071__tu,Number of paid non-sufficient funds in the last year
linka072,__tu,linka072__tu,Number of paid non-sufficient funds in the last 2 years
